iso3,gdp_per_capita,gdp_growth,inflation,unemployment,population,population_growth,birth_rate,death_rate,life_expectancy,fertility_rate,internet_users,electricity_access,urban_population_pct,gdp_current_usd,literacy_rate,secondary_enrollment,physicians_per_1000,industry_value_added_pct,agriculture_value_added_pct
PRE,1770.15579032781,4.67657631651602,8.77567482988523,4.97198453165573,1051201551,2.52799513873611,34.6904289948284,8.54648788804631,61.3832880029503,4.62841373246017,,51.1433191693417,44.4479498791233,1860790512304.23,66.9874496459961,44.3046188354492,0.264731280529343,30.0189924618283,19.8743560891727
SST,13636.4661190787,7.43586182979632,6.15375621933037,8.21647080688741,19852364,1.04213937591557,16.4852893809019,7.9389219199789,72.3794678577605,2.14684043316307,70.5,93.8522236444989,51.5222800598785,270716089069.618,87.8255615234375,75.5592727661133,1.8737611859239,26.482416169281,3.76817415936053
SAS,2385.08341896271,7.10115392630797,7.18461996730066,4.86631704704624,1648009565,0.805672047808918,16.7759229680836,6.44240107249924,72.0115731308447,2.01401171309975,54.2,99.0895114731934,34.8137520955194,3930640287773.46,76.8953704833984,79.9404983520508,0.734049151018125,26.3092218083012,15.795939950266
TSA,2385.08341896271,7.10115392630797,7.18461996730066,4.86631704704624,1648009565,0.805672047808918,16.7759229680836,6.44240107249924,72.0115731308447,2.01401171309975,54.2,99.0895114731934,34.8137520955194,3930640287773.46,76.8953704833984,79.9404983520508,0.734049151018125,26.3092218083012,15.795939950266
SSF,1865.11635260699,4.06140756050381,9.45801281304023,6.07875092921414,1229208573,2.48727039207262,33.4948272937338,8.49648186826712,61.8571795894802,4.39651820585481,31.1,51.5873775845362,43.1554770877868,2292617010267.0,68.1527099609375,45.4347686767578,0.249646655931918,24.8176549407583,19.3834436394016
SSA,1963.80330032374,3.98372703715641,9.45801281304023,6.39359936161309,1103704408,2.47025582601609,33.6199414402275,8.76960060462312,61.2833535992957,4.43349107645845,32.7,51.1489934048537,45.4749158289618,2167458359012.26,68.1487503051758,45.4329109191895,0.261259841171875,24.9474247282306,18.3597841272687
TSS,1865.11635260699,4.0614075605038,9.45801281304023,6.07875092921414,1229208573,2.48727039207262,33.4948272937338,8.49648186826712,61.8571795894802,4.3965182058548,31.1,51.5873775845363,43.1554770877868,2292617010267.0,68.1527099609375,45.4347686767578,0.249646655931918,24.8176549407583,19.3834436394016
WLD,12798.1658465319,3.40305483746891,7.98518671835033,5.23426188470581,7989545217,0.867762860278982,16.5575302084666,7.707010667723,72.9682902550636,2.21522779577453,67.0,91.2883104888965,57.0703302851395,102251524725531.0,87.3925170898438,77.5006103515625,1.86069862599317,27.2584810728139,4.29021425382999
AFG,357.261152798144,-6.24017199240269,13.7121023720065,14.1,40578842,1.43570437048699,36.045,5.993,65.617,4.932,17.1917,85.3,25.3939250580909,,,,,,
ALB,7756.96188744253,4.8268006234359,6.7252027153006,10.785,2451636,-1.54315667695786,10.305,8.709,78.769,1.355,82.6137,100.0,57.8643477747383,,,,,,
DZA,4960.30334332888,3.60000000094915,9.26551551551553,12.382,45477389,1.58758210690673,20.491,4.602,76.129,2.817,74.8319,100.0,74.1795862354514,225581644702.568,,104.550270080566,1.66,43.0521306240802,10.6470638553472
ASM,18017.4589383973,1.73501577287065,,,48342,-1.81008765020754,15.522,6.815,72.752,2.305,,,81.794797704649,,,,,,
AND,42414.0479861228,9.56461225648184,,,79705,1.69676808598242,6.85,5.948,84.016,1.071,94.4855,100.0,88.7548766267286,3380611694.73392,,98.5098724365234,5.157,11.1453411041301,0.487491862156614
AGO,3682.1131513698,4.21600258475137,21.3552901320822,14.124,35635029,3.14302612044601,38.102,7.097,64.246,5.209,42.0719,48.5,69.0506188977513,,,,,,
ATG,20105.1989085164,9.10780623385958,7.53107834634288,,92840,0.530270318994476,12.001,6.771,77.483,1.58,77.1648,100.0,24.5114484000414,,,,,,
ARG,13962.1894087223,6.02074537534855,72.430757531824,6.805,45407904,0.210808731072658,10.926,8.797,75.806,1.482,88.3754,100.0,92.112838186126,633993756301.08,,114.14811706543,5.437,24.1118636272911,6.54156940484837
ARM,6571.97445545099,12.5999999997766,8.64091108973855,13.451,2969200,0.2326562627468,12.3,9.0,74.7658536585366,1.7,77.0277,100.0,65.5624462874485,19513506553.1251,99.8199996948242,91.7106609922965,3.36,25.4370966437794,10.1467039255683
ABW,30975.9989121779,10.6364309604414,,,107310,-0.362774222330685,8.527,8.191,76.226,1.615,,99.9,61.8811657924257,,,,,,
AUS,65169.5191118657,4.25304559238732,6.59409671341846,3.728,26018721,1.28931130985537,11.6,7.3,83.2,1.63,97.0424,100.0,87.3343268253813,1695627535475.8,,133.277267456055,4.086,27.4019620848457,2.67242699950618
AUT,52336.7725223758,5.33096379400371,8.5468699318845,4.992,9041851,0.956287797076634,9.1,10.3,81.2951219512195,1.41,93.6141,100.0,68.998085127906,473221298968.216,,101.458000183105,5.432,25.8444683875386,1.34649596457301
AZE,7770.594223351,4.71468033247649,13.8522590144267,5.65,10141756,0.039507866238038,12.1,6.0,74.125,1.67,88.0,100.0,58.4382815854684,78807470588.2353,,90.9530364179442,3.185,56.1467373576856,4.61220830811053
BHS,34957.1613279737,10.8779009410268,5.60540633583044,9.25,397538,0.293483989063331,10.942,8.558,74.491,1.379,94.7326,100.0,81.3200717047725,,,,,,
BHR,30470.5219276023,6.18016125475185,3.62574104304482,1.265,1524693,1.34221960637543,13.282,2.094,80.992,1.839,100.0,100.0,100.0,46458191489.3617,97.870002746582,103.393222951005,,46.3896273702963,0.246160469147506
BGD,2716.48592780431,7.09982877575158,7.69695437176898,4.593,169384897,1.02423384746683,20.583,5.037,74.265,2.179,41.6165,99.4,31.673734726234,460131689083.083,79.0,67.0384586440383,0.717,33.9200804971876,11.2176010351595
BRB,24387.0387293761,17.2264626793379,,7.261,282318,0.0605883465692588,11.249,11.097,75.676,1.712,79.4451,100.0,59.3538514107686,6884900000.0,,104.222328186035,2.958,12.8135484901741,1.44882278609711
BLR,7994.64806074889,-4.65839591328999,15.209675274081,3.574,9228071,-0.804228426880244,8.062,13.246,74.1033658536585,1.326,89.5073,100.0,78.4732787892908,73775179924.603,,99.0602032881737,4.669,33.0290955450834,8.04181871674039
BEL,50605.7496677086,3.9562379757933,9.597511728725,5.57,11680210,0.808165350001861,9.8,10.0,81.7487804878049,1.53,94.0078,100.0,87.489200269855,591085783326.267,,142.918075561523,3.574,20.0021164809193,0.671430411514796
BLZ,7068.21728043145,9.25051329530994,6.27689319447544,8.682,402733,1.85124805102003,17.391,5.409,72.19,1.949,71.8096,98.6,42.1373251262137,2846604350.0,87.879997253418,87.4381668552162,,15.4868338744118,7.74858121747759
BEN,1266.42711031904,6.25294705373625,1.35077863583527,1.685,13759501,2.54740926342667,34.35,8.948,60.475,4.634,30.0134,56.5,50.9627000010887,17425405090.862,51.3800010681152,43.5606498718262,0.19,17.017826707817,26.8966787968124
BMU,121613.939983629,6.47622571186707,,,64749,0.156108751379667,8.183,8.772,82.062,1.397,,100.0,100.0,,,,,,
BTN,3711.32767981591,5.21386783786224,5.6391667139637,5.947,780914,0.703183917780367,12.807,6.143,72.754,1.478,86.2903,100.0,40.9365143617581,2898227743.75576,64.9100036621094,89.9829129407455,0.553,31.8248447380802,14.6710119560904
BOL,4219.46113742445,3.74741781241461,1.74632872945969,3.552,12077154,1.16425907336882,21.566,7.681,67.434,2.584,67.3612,99.9,70.6352598708131,,,,,,
BIH,7655.59421024383,4.22681333390325,14.0208440826771,12.657,3204802,-1.24363802761194,7.748,14.05,76.777,1.481,78.8455,100.0,51.0215287060993,,,,,,
BWA,8328.7090572666,5.48601706446772,11.665567478802,23.615,2439892,1.58848021878269,25.253,5.826,68.749,2.785,80.3696,75.9,66.5889787170477,,,,,,
BRA,9281.33282136864,3.01669435408112,9.28010608956873,9.231,210306415,0.360180890872169,12.555,7.539,74.872,1.629,80.5278,100.0,87.349556243881,1951923832083.87,94.3853874531348,106.031188964844,,22.8194568521446,5.76747490842218
BRN,36632.9280952155,-1.62833154515108,3.68225030604216,5.191,455370,0.804554269312164,13.847,6.559,72.917,1.764,98.9704,100.0,74.7772642014221,,,,,,
BGR,13999.1949530956,4.0838640915123,15.3252589264366,4.148,6465097,-0.650676134087796,8.8,18.4,74.1609756097561,1.78,79.1269,100.0,73.4799164005224,90506153293.6733,,96.6720733642578,4.328,25.3037212349858,3.71136413583789
BFA,827.330843486661,1.62673258211919,14.2902354303358,3.828,22509038,2.30907147387783,32.043,8.135,60.7,4.275,14.6238,19.5,27.2791369742712,18622421394.6133,40.9199981689453,33.6212866168282,0.148,26.0439488959765,20.6297606481805
BDI,302.992505263552,2.31770122223331,18.8008786664945,0.909,13321097,2.70585008916716,34.306,6.997,62.882,4.98,11.0009,10.3,22.3202446002597,,,,,,
